recorded_at,wave_height_m,wave_direction_deg,wave_period_s,sea_surface_temp_c,sea_level_height_msl_m
2023-01-01T00:00,0.84,117,7.45,27.8,0.54
2023-01-01T01:00,0.82,119,7.5,27.8,0.52
2023-01-01T02:00,0.82,120,7.55,27.7,0.5
2023-01-01T03:00,0.8,121,7.55,27.7,0.51
2023-01-01T04:00,0.8,122,7.55,27.7,0.52
2023-01-01T05:00,0.78,123,7.55,27.7,0.53
2023-01-01T06:00,0.78,125,7.65,27.7,0.53
2023-01-01T07:00,0.76,126,7.75,27.7,0.52
2023-01-01T08:00,0.76,128,7.9,27.7,0.51
2023-01-01T09:00,0.74,130,8.1,27.7,0.49
2023-01-01T10:00,0.74,133,8.35,27.7,0.45
2023-01-01T11:00,0.72,135,8.45,27.8,0.4
2023-01-01T12:00,0.72,133,8.35,27.8,0.38
2023-01-01T13:00,0.74,130,8.05,27.9,0.37
2023-01-01T14:00,0.74,128,7.7,27.9,0.39
2023-01-01T15:00,0.8,120,7.15,28.0,0.42
2023-01-01T16:00,0.86,111,6.55,28.0,0.47
2023-01-01T17:00,0.92,103,6.05,28.0,0.53
2023-01-01T18:00,0.94,100,5.85,28.0,0.59
2023-01-01T19:00,0.96,98,5.8,28.0,0.64
2023-01-01T20:00,0.98,95,5.8,28.0,0.69
2023-01-01T21:00,0.98,94,5.8,27.9,0.72
2023-01-01T22:00,0.98,93,5.9,27.9,0.73
2023-01-01T23:00,0.98,92,5.95,27.8,0.7
2023-01-02T00:00,1.0,91,6.0,27.8,0.66
2023-01-02T01:00,1.0,91,6.0,27.7,0.61
2023-01-02T02:00,1.02,90,6.0,27.7,0.57
2023-01-02T03:00,1.02,89,6.0,27.7,0.53
2023-01-02T04:00,1.04,89,5.95,27.6,0.5
2023-01-02T05:00,1.04,88,5.9,27.6,0.48
2023-01-02T06:00,1.04,87,5.85,27.6,0.48
2023-01-02T07:00,1.06,86,5.85,27.6,0.48
2023-01-02T08:00,1.06,85,5.8,27.6,0.48
2023-01-02T09:00,1.06,85,5.8,27.6,0.5
2023-01-02T10:00,1.04,85,5.75,27.7,0.51
2023-01-02T11:00,1.04,85,5.75,27.7,0.48
2023-01-02T12:00,1.04,85,5.75,27.7,0.44
2023-01-02T13:00,1.04,84,5.7,27.7,0.41
2023-01-02T14:00,1.04,84,5.7,27.8,0.4
2023-01-02T15:00,1.04,83,5.7,27.8,0.39
2023-01-02T16:00,1.02,83,5.65,27.9,0.4
2023-01-02T17:00,1.02,82,5.65,27.9,0.43
2023-01-02T18:00,1.0,82,5.65,27.9,0.48
2023-01-02T19:00,1.0,82,5.6,27.8,0.55
2023-01-02T20:00,0.98,82,5.65,27.8,0.61
2023-01-02T21:00,1.0,83,5.75,27.8,0.68
2023-01-02T22:00,1.0,83,5.9,27.7,0.74
2023-01-02T23:00,1.02,84,6.0,27.7,0.74
2023-01-03T00:00,1.0,84,6.0,27.6,0.69
2023-01-03T01:00,0.96,84,5.95,27.6,0.63
2023-01-03T02:00,0.94,84,5.9,27.6,0.57
2023-01-03T03:00,0.94,83,5.85,27.5,0.5
2023-01-03T04:00,0.92,83,5.8,27.5,0.44
2023-01-03T05:00,0.92,82,5.75,27.5,0.39
2023-01-03T06:00,0.92,81,5.7,27.5,0.37
2023-01-03T07:00,0.9,80,5.65,27.5,0.37
2023-01-03T08:00,0.9,79,5.65,27.5,0.39
2023-01-03T09:00,0.9,79,5.75,27.5,0.44
2023-01-03T10:00,0.9,80,5.85,27.5,0.49
2023-01-03T11:00,0.9,80,5.95,27.5,0.51
2023-01-03T12:00,0.92,80,6.0,27.6,0.49
2023-01-03T13:00,0.92,79,5.95,27.6,0.46
2023-01-03T14:00,0.94,79,5.95,27.7,0.42
2023-01-03T15:00,0.96,78,5.9,27.7,0.38
2023-01-03T16:00,0.96,78,5.8,27.8,0.34
2023-01-03T17:00,0.98,77,5.8,27.8,0.32
2023-01-03T18:00,1.0,77,5.9,27.8,0.34
2023-01-03T19:00,1.02,78,6.0,27.7,0.4
2023-01-03T20:00,1.04,78,6.1,27.7,0.49
2023-01-03T21:00,1.04,78,6.05,27.7,0.59
2023-01-03T22:00,1.04,77,6.0,27.6,0.68
2023-01-03T23:00,1.04,77,5.95,27.6,0.74
2023-01-04T00:00,1.04,78,6.0,27.5,0.75
2023-01-04T01:00,1.02,79,6.1,27.5,0.68
2023-01-04T02:00,1.02,80,6.2,27.4,0.59
2023-01-04T03:00,1.0,82,6.35,27.4,0.5
2023-01-04T04:00,0.96,84,6.5,27.3,0.41
2023-01-04T05:00,0.94,86,6.6,27.3,0.32
2023-01-04T06:00,0.92,86,6.65,27.3,0.26
2023-01-04T07:00,0.92,87,6.6,27.3,0.25
2023-01-04T08:00,0.9,87,6.55,27.3,0.27
2023-01-04T09:00,0.9,86,6.4,27.4,0.33
2023-01-04T10:00,0.88,85,6.25,27.4,0.41
2023-01-04T11:00,0.88,84,6.05,27.4,0.47
2023-01-04T12:00,0.92,82,5.9,27.5,0.5
2023-01-04T13:00,0.98,79,5.75,27.5,0.47
2023-01-04T14:00,1.02,77,5.65,27.5,0.42
2023-01-04T15:00,1.08,77,5.55,27.6,0.37
2023-01-04T16:00,1.14,76,5.5,27.6,0.33
2023-01-04T17:00,1.2,76,5.45,27.6,0.29
2023-01-04T18:00,1.2,75,5.45,27.6,0.28
2023-01-04T19:00,1.2,75,5.45,27.6,0.31
2023-01-04T20:00,1.2,74,5.5,27.5,0.41
2023-01-04T21:00,1.18,74,5.55,27.5,0.54
2023-01-04T22:00,1.18,74,5.55,27.4,0.66
2023-01-04T23:00,1.16,74,5.6,27.4,0.76
2023-01-05T00:00,1.14,74,5.65,27.3,0.81
2023-01-05T01:00,1.1,75,5.7,27.3,0.79
2023-01-05T02:00,1.08,75,5.75,27.3,0.71
2023-01-05T03:00,1.06,76,5.8,27.2,0.61
2023-01-05T04:00,1.04,77,5.9,27.2,0.51
2023-01-05T05:00,1.02,78,5.95,27.2,0.39
2023-01-05T06:00,1.0,78,6.0,27.2,0.3
2023-01-05T07:00,0.98,79,6.1,27.2,0.26
2023-01-05T08:00,0.96,79,6.15,27.2,0.27
2023-01-05T09:00,0.94,80,6.25,27.2,0.34
2023-01-05T10:00,0.94,82,6.3,27.2,0.42
2023-01-05T11:00,0.92,83,6.35,27.3,0.51
2023-01-05T12:00,0.92,82,6.3,27.3,0.58
2023-01-05T13:00,0.94,81,6.25,27.4,0.58
2023-01-05T14:00,0.94,80,6.15,27.4,0.54
2023-01-05T15:00,0.98,79,6.0,27.5,0.47
2023-01-05T16:00,1.02,78,5.85,27.5,0.38
2023-01-05T17:00,1.06,77,5.75,27.5,0.31
2023-01-05T18:00,1.1,76,5.75,27.5,0.25
2023-01-05T19:00,1.14,75,5.8,27.5,0.25
2023-01-05T20:00,1.18,74,5.85,27.5,0.31
2023-01-05T21:00,1.18,74,5.9,27.4,0.43
2023-01-05T22:00,1.18,74,5.95,27.4,0.57
2023-01-05T23:00,1.18,74,6.0,27.4,0.71
2023-01-06T00:00,1.16,73,5.95,27.3,0.81
2023-01-06T01:00,1.16,73,5.9,27.3,0.84
2023-01-06T02:00,1.14,72,5.8,27.3,0.78
2023-01-06T03:00,1.1,72,5.75,27.2,0.67
2023-01-06T04:00,1.06,71,5.7,27.2,0.54
2023-01-06T05:00,1.02,71,5.65,27.2,0.42
2023-01-06T06:00,1.02,68,5.65,27.2,0.3
2023-01-06T07:00,1.04,66,5.6,27.1,0.22
2023-01-06T08:00,1.04,63,5.6,27.1,0.21
2023-01-06T09:00,1.08,61,5.55,27.1,0.27
2023-01-06T10:00,1.1,60,5.5,27.1,0.38
2023-01-06T11:00,1.14,58,5.45,27.1,0.5
2023-01-06T12:00,1.16,59,5.5,27.1,0.6
2023-01-06T13:00,1.18,61,5.55,27.2,0.67
2023-01-06T14:00,1.2,62,5.6,27.2,0.67
2023-01-06T15:00,1.2,64,5.6,27.2,0.59
2023-01-06T16:00,1.18,65,5.55,27.2,0.48
2023-01-06T17:00,1.18,67,5.55,27.2,0.4
2023-01-06T18:00,1.18,67,5.55,27.2,0.33
2023-01-06T19:00,1.18,67,5.55,27.2,0.29
2023-01-06T20:00,1.18,67,5.55,27.2,0.33
2023-01-06T21:00,1.18,66,5.5,27.1,0.42
2023-01-06T22:00,1.18,66,5.5,27.1,0.57
2023-01-06T23:00,1.18,65,5.45,27.1,0.73
2023-01-07T00:00,1.18,64,5.45,27.0,0.84
2023-01-07T01:00,1.2,63,5.5,27.0,0.91
2023-01-07T02:00,1.2,62,5.5,27.0,0.91
2023-01-07T03:00,1.18,61,5.5,27.0,0.81
2023-01-07T04:00,1.16,59,5.5,26.9,0.68
2023-01-07T05:00,1.14,58,5.45,26.9,0.53
2023-01-07T06:00,1.12,57,5.4,26.9,0.38
2023-01-07T07:00,1.1,55,5.35,26.9,0.27
2023-01-07T08:00,1.08,54,5.3,26.9,0.22
2023-01-07T09:00,1.08,55,5.25,26.9,0.26
2023-01-07T10:00,1.08,55,5.25,27.0,0.36
2023-01-07T11:00,1.08,56,5.25,27.0,0.49
2023-01-07T12:00,1.1,57,5.25,27.0,0.61
2023-01-07T13:00,1.14,59,5.25,27.1,0.69
2023-01-07T14:00,1.16,60,5.25,27.1,0.72
2023-01-07T15:00,1.18,62,5.3,27.2,0.68
2023-01-07T16:00,1.22,63,5.4,27.2,0.57
2023-01-07T17:00,1.24,65,5.45,27.2,0.45
2023-01-07T18:00,1.26,66,5.5,27.2,0.36
2023-01-07T19:00,1.28,66,5.55,27.2,0.31
2023-01-07T20:00,1.3,67,5.6,27.2,0.31
2023-01-07T21:00,1.3,67,5.65,27.1,0.38
2023-01-07T22:00,1.28,66,5.7,27.1,0.51
2023-01-07T23:00,1.28,66,5.7,27.0,0.67
2023-01-08T00:00,1.22,66,5.65,27.0,0.82
2023-01-08T01:00,1.18,67,5.6,27.0,0.91
2023-01-08T02:00,1.12,67,5.6,26.9,0.94
2023-01-08T03:00,1.1,68,5.7,26.9,0.89
2023-01-08T04:00,1.06,69,5.8,26.9,0.77
2023-01-08T05:00,1.04,70,5.9,26.9,0.61
2023-01-08T06:00,1.04,71,5.95,26.9,0.45
2023-01-08T07:00,1.02,72,6.0,26.9,0.32
2023-01-08T08:00,1.02,73,6.05,26.9,0.24
2023-01-08T09:00,1.02,74,6.1,26.9,0.25
2023-01-08T10:00,1.0,76,6.2,26.9,0.34
2023-01-08T11:00,1.0,77,6.2,26.9,0.46
2023-01-08T12:00,1.02,76,6.15,27.0,0.59
2023-01-08T13:00,1.04,75,6.0,27.0,0.71
2023-01-08T14:00,1.06,74,5.9,27.1,0.78
2023-01-08T15:00,1.1,73,5.8,27.1,0.76
2023-01-08T16:00,1.16,73,5.75,27.2,0.67
2023-01-08T17:00,1.2,72,5.7,27.2,0.53
2023-01-08T18:00,1.22,72,5.7,27.2,0.41
2023-01-08T19:00,1.26,72,5.7,27.2,0.32
2023-01-08T20:00,1.28,72,5.7,27.1,0.3
2023-01-08T21:00,1.28,72,5.7,27.1,0.34
2023-01-08T22:00,1.3,72,5.75,27.1,0.46
2023-01-08T23:00,1.3,72,5.75,27.0,0.61
2023-01-09T00:00,1.3,72,5.75,27.0,0.78
2023-01-09T01:00,1.28,72,5.8,27.0,0.91
2023-01-09T02:00,1.28,72,5.8,26.9,0.96
2023-01-09T03:00,1.26,72,5.85,26.9,0.95
2023-01-09T04:00,1.24,73,5.9,26.8,0.86
2023-01-09T05:00,1.22,73,5.9,26.8,0.7
2023-01-09T06:00,1.22,73,5.9,26.8,0.51
2023-01-09T07:00,1.2,73,5.9,26.8,0.36
2023-01-09T08:00,1.2,73,5.85,26.8,0.25
2023-01-09T09:00,1.2,73,5.8,26.8,0.21
2023-01-09T10:00,1.22,72,5.8,26.9,0.27
2023-01-09T11:00,1.22,72,5.75,26.9,0.38
2023-01-09T12:00,1.24,72,5.7,26.9,0.51
2023-01-09T13:00,1.24,71,5.65,27.0,0.63
2023-01-09T14:00,1.26,71,5.6,27.0,0.7
2023-01-09T15:00,1.28,71,5.55,27.1,0.73
2023-01-09T16:00,1.28,72,5.5,27.1,0.68
2023-01-09T17:00,1.3,72,5.5,27.1,0.55
2023-01-09T18:00,1.3,72,5.5,27.1,0.41
2023-01-09T19:00,1.28,72,5.55,27.1,0.32
2023-01-09T20:00,1.28,72,5.55,27.0,0.26
2023-01-09T21:00,1.28,71,5.55,27.0,0.26
2023-01-09T22:00,1.26,71,5.55,26.9,0.35
2023-01-09T23:00,1.26,70,5.55,26.9,0.49
2023-01-10T00:00,1.22,70,5.55,26.8,0.64
2023-01-10T01:00,1.18,70,5.5,26.8,0.77
