recorded_at,aqi,aqi_category,pm25,pm10,no2,so2,co,o3,nh3,temperature,humidity,wind_speed,wind_direction,pressure
2025-01-01T00:00,53,Moderate,23.9,26.8,3.5,5.7,368.0,86.0,,,,,,
2025-01-01T01:00,54,Moderate,23.3,25.7,3.4,6.4,366.0,88.0,,,,,,
2025-01-01T02:00,55,Moderate,24.4,26.7,3.3,7.1,363.0,89.0,,,,,,
2025-01-01T03:00,55,Moderate,24.7,26.9,3.3,8.1,356.0,88.0,,,,,,
2025-01-01T04:00,56,Moderate,24.6,26.7,3.4,9.1,348.0,87.0,,,,,,
2025-01-01T05:00,57,Moderate,25.4,27.6,3.7,11.3,347.0,85.0,,,,,,
2025-01-01T06:00,59,Moderate,25.7,27.9,4.4,11.8,362.0,84.0,,,,,,
2025-01-01T07:00,60,Moderate,26.7,28.9,5.4,12.4,386.0,83.0,,,,,,
2025-01-01T08:00,62,Moderate,28.0,30.2,5.7,12.3,400.0,86.0,,,,,,
2025-01-01T09:00,63,Moderate,29.2,31.2,4.8,10.8,398.0,95.0,,,,,,
2025-01-01T10:00,65,Moderate,28.2,30.0,3.3,8.6,388.0,107.0,,,,,,
2025-01-01T11:00,66,Moderate,26.5,28.3,2.0,6.6,374.0,117.0,,,,,,
2025-01-01T12:00,68,Moderate,24.1,25.7,1.4,5.2,356.0,123.0,,,,,,
2025-01-01T13:00,69,Moderate,21.9,23.4,1.1,4.0,334.0,127.0,,,,,,
2025-01-01T14:00,70,Moderate,20.0,21.5,0.9,3.1,313.0,129.0,,,,,,
2025-01-01T15:00,71,Moderate,18.2,19.7,0.9,2.4,292.0,127.0,,,,,,
2025-01-01T16:00,72,Moderate,16.8,18.4,1.0,2.0,271.0,123.0,,,,,,
2025-01-01T17:00,73,Moderate,16.7,19.2,1.1,1.2,258.0,114.0,,,,,,
2025-01-01T18:00,73,Moderate,16.8,19.4,1.1,1.2,257.0,111.0,,,,,,
2025-01-01T19:00,74,Moderate,17.5,20.3,1.2,1.1,264.0,107.0,,,,,,
2025-01-01T20:00,75,Moderate,18.6,21.5,1.3,1.1,272.0,103.0,,,,,,
2025-01-01T21:00,75,Moderate,19.7,22.6,1.4,1.2,281.0,100.0,,,,,,
2025-01-01T22:00,75,Moderate,20.5,23.4,1.6,1.3,292.0,96.0,,,,,,
