recorded_at,aqi,aqi_category,pm25,pm10,no2,so2,co,o3,nh3,temperature,humidity,wind_speed,wind_direction,pressure
2023-01-01T00:00,56,Moderate,13.8,24.9,1.1,0.8,170.0,94.0,,,,,,
2023-01-01T01:00,56,Moderate,13.5,24.6,1.1,0.8,170.0,91.0,,,,,,
2023-01-01T02:00,56,Moderate,13.2,23.9,1.2,0.9,170.0,88.0,,,,,,
2023-01-01T03:00,56,Moderate,12.8,23.3,1.2,1.0,170.0,85.0,,,,,,
2023-01-01T04:00,56,Moderate,12.5,22.5,1.2,1.1,169.0,81.0,,,,,,
2023-01-01T05:00,56,Moderate,12.7,22.5,1.1,3.2,168.0,77.0,,,,,,
2023-01-01T06:00,57,Moderate,12.5,22.0,1.3,3.0,170.0,75.0,,,,,,
2023-01-01T07:00,57,Moderate,12.4,21.8,1.6,2.8,173.0,71.0,,,,,,
2023-01-01T08:00,57,Moderate,12.9,22.4,1.8,2.9,177.0,71.0,,,,,,
2023-01-01T09:00,57,Moderate,14.0,23.6,1.7,3.8,179.0,77.0,,,,,,
2023-01-01T10:00,57,Moderate,16.1,26.4,1.3,5.1,180.0,86.0,,,,,,
2023-01-01T11:00,58,Moderate,18.6,29.7,0.9,6.0,180.0,96.0,,,,,,
2023-01-01T12:00,58,Moderate,20.1,31.5,0.7,5.4,178.0,100.0,,,,,,
2023-01-01T13:00,59,Moderate,20.3,31.7,0.6,4.2,175.0,103.0,,,,,,
2023-01-01T14:00,59,Moderate,19.6,30.7,0.5,2.8,172.0,105.0,,,,,,
2023-01-01T15:00,60,Moderate,18.7,29.6,0.5,2.5,172.0,106.0,,,,,,
2023-01-01T16:00,60,Moderate,18.0,28.9,0.6,2.4,173.0,106.0,,,,,,
2023-01-01T17:00,61,Moderate,17.3,27.9,0.8,3.9,182.0,114.0,,,,,,
2023-01-01T18:00,61,Moderate,19.2,31.0,0.9,3.9,183.0,116.0,,,,,,
2023-01-01T19:00,62,Moderate,20.4,33.1,1.0,3.8,183.0,118.0,,,,,,
2023-01-01T20:00,62,Moderate,20.4,33.8,1.2,3.6,183.0,118.0,,,,,,
2023-01-01T21:00,63,Moderate,19.4,32.8,1.3,3.4,181.0,115.0,,,,,,
2023-01-01T22:00,63,Moderate,18.2,31.3,1.3,3.0,178.0,109.0,,,,,,
2023-01-01T23:00,64,Moderate,16.9,29.5,1.4,2.6,175.0,102.0,,,,,,
2023-01-02T00:00,64,Moderate,16.2,28.5,1.3,2.3,175.0,97.0,,,,,,
2023-01-02T01:00,64,Moderate,15.9,27.9,1.2,2.1,175.0,93.0,,,,,,
2023-01-02T02:00,64,Moderate,15.7,27.7,1.1,1.8,176.0,88.0,,,,,,
2023-01-02T03:00,65,Moderate,15.5,27.1,1.1,1.6,176.0,86.0,,,,,,
2023-01-02T04:00,65,Moderate,15.6,27.2,1.1,1.5,176.0,84.0,,,,,,
2023-01-02T05:00,65,Moderate,15.3,26.6,1.3,1.3,176.0,79.0,,,,,,
2023-01-02T06:00,65,Moderate,15.7,27.1,1.4,1.3,177.0,79.0,,,,,,
2023-01-02T07:00,65,Moderate,16.1,27.8,1.5,1.2,178.0,80.0,,,,,,
2023-01-02T08:00,66,Moderate,17.0,29.3,1.5,1.2,178.0,82.0,,,,,,
2023-01-02T09:00,66,Moderate,18.2,31.4,1.3,1.1,174.0,86.0,,,,,,
2023-01-02T10:00,66,Moderate,19.5,33.6,0.9,0.9,169.0,92.0,,,,,,
2023-01-02T11:00,67,Moderate,20.4,35.2,0.5,0.7,162.0,99.0,,,,,,
2023-01-02T12:00,67,Moderate,20.9,36.0,0.4,0.7,159.0,102.0,,,,,,
2023-01-02T13:00,67,Moderate,21.1,36.4,0.3,0.6,158.0,103.0,,,,,,
