recorded_at,aqi,aqi_category,pm25,pm10,no2,so2,co,o3,nh3,temperature,humidity,wind_speed,wind_direction,pressure
2022-01-01T00:00,,Unknown,,,,,,,,,,,,
2022-01-01T01:00,,Unknown,,,,,,,,,,,,
2022-01-01T02:00,,Unknown,,,,,,,,,,,,
2022-01-01T03:00,,Unknown,,,,,,,,,,,,
2022-01-01T04:00,,Unknown,,,,,,,,,,,,
2022-01-01T05:00,,Unknown,,,,,,,,,,,,
2022-01-01T06:00,,Unknown,,,,,,,,,,,,
2022-01-01T07:00,,Unknown,,,,,,,,,,,,
2022-01-01T08:00,,Unknown,,,,,,,,,,,,
2022-01-01T09:00,,Unknown,,,,,,,,,,,,
2022-01-01T10:00,,Unknown,,,,,,,,,,,,
2022-01-01T11:00,,Unknown,,,,,,,,,,,,
2022-01-01T12:00,,Unknown,,,,,,,,,,,,
2022-01-01T13:00,,Unknown,,,,,,,,,,,,
2022-01-01T14:00,,Unknown,,,,,,,,,,,,
2022-01-01T15:00,,Unknown,,,,,,,,,,,,
2022-01-01T16:00,,Unknown,,,,,,,,,,,,
2022-01-01T17:00,,Unknown,,,,,,,,,,,,
2022-01-01T18:00,,Unknown,,,,,,,,,,,,
2022-01-01T19:00,,Unknown,,,,,,,,,,,,
2022-01-01T20:00,,Unknown,,,,,,,,,,,,
2022-01-01T21:00,,Unknown,,,,,,,,,,,,
2022-01-01T22:00,,Unknown,,,,,,,,,,,,
2022-01-01T23:00,,Unknown,,,,,,,,,,,,
2022-01-02T00:00,,Unknown,,,,,,,,,,,,
2022-01-02T01:00,,Unknown,,,,,,,,,,,,
2022-01-02T02:00,,Unknown,,,,,,,,,,,,
2022-01-02T03:00,,Unknown,,,,,,,,,,,,
2022-01-02T04:00,,Unknown,,,,,,,,,,,,
2022-01-02T05:00,,Unknown,,,,,,,,,,,,
2022-01-02T06:00,,Unknown,,,,,,,,,,,,
2022-01-02T07:00,,Unknown,,,,,,,,,,,,
2022-01-02T08:00,,Unknown,,,,,,,,,,,,
2022-01-02T09:00,,Unknown,,,,,,,,,,,,
