recorded_at,aqi,aqi_category,pm25,pm10,no2,so2,co,o3,nh3,temperature,humidity,wind_speed,wind_direction,pressure
2024-01-01T00:00,66,Moderate,15.0,25.6,1.6,0.7,205.0,69.0,,,,,,
2024-01-01T01:00,66,Moderate,15.8,27.0,1.8,0.9,211.0,69.0,,,,,,
2024-01-01T02:00,66,Moderate,17.4,29.7,1.9,1.3,218.0,69.0,,,,,,
2024-01-01T03:00,66,Moderate,18.0,30.7,1.9,1.9,227.0,70.0,,,,,,
2024-01-01T04:00,66,Moderate,19.7,33.2,1.9,2.7,238.0,71.0,,,,,,
2024-01-01T05:00,66,Moderate,19.6,32.7,2.0,1.9,234.0,68.0,,,,,,
2024-01-01T06:00,66,Moderate,20.7,34.7,2.3,2.9,243.0,69.0,,,,,,
2024-01-01T07:00,66,Moderate,22.1,37.0,2.7,4.3,255.0,70.0,,,,,,
2024-01-01T08:00,66,Moderate,23.7,39.8,2.8,5.4,264.0,74.0,,,,,,
2024-01-01T09:00,66,Moderate,24.5,41.4,2.4,5.9,266.0,83.0,,,,,,
2024-01-01T10:00,67,Moderate,24.4,41.6,1.8,6.1,264.0,95.0,,,,,,
2024-01-01T11:00,67,Moderate,24.3,41.7,1.3,6.0,261.0,105.0,,,,,,
2024-01-01T12:00,67,Moderate,24.3,41.6,1.0,5.3,259.0,111.0,,,,,,
2024-01-01T13:00,67,Moderate,24.7,42.4,0.9,4.3,256.0,115.0,,,,,,
2024-01-01T14:00,68,Moderate,24.5,41.9,0.8,3.4,253.0,118.0,,,,,,
2024-01-01T15:00,68,Moderate,24.2,41.6,0.9,2.7,250.0,119.0,,,,,,
2024-01-01T16:00,69,Moderate,24.1,41.8,1.0,2.2,246.0,119.0,,,,,,
2024-01-01T17:00,69,Moderate,24.2,41.7,1.5,2.5,258.0,115.0,,,,,,
2024-01-01T18:00,70,Moderate,24.1,41.9,1.3,2.1,254.0,115.0,,,,,,
2024-01-01T19:00,71,Moderate,23.5,41.4,1.1,1.6,249.0,115.0,,,,,,
2024-01-01T20:00,72,Moderate,22.7,40.3,1.0,1.2,244.0,112.0,,,,,,
